EPOCH:: 1, Validation cost: 124.7720, Validation F1: 0.5441, Time: 186.8421 
EPOCH:: 2, Validation cost: 110.5923, Validation F1: 0.6019, Time: 185.8241 
EPOCH:: 3, Validation cost: 88.0390, Validation F1: 0.6760, Time: 185.9374 
EPOCH:: 4, Validation cost: 80.6757, Validation F1: 0.7097, Time: 186.0097 
EPOCH:: 5, Validation cost: 72.6558, Validation F1: 0.7485, Time: 186.0649 
EPOCH:: 6, Validation cost: 70.3884, Validation F1: 0.7614, Time: 186.0191 
EPOCH:: 7, Validation cost: 67.8095, Validation F1: 0.7769, Time: 185.9701 
EPOCH:: 8, Validation cost: 72.0281, Validation F1: 0.7666, Time: 185.9514 
EPOCH:: 9, Validation cost: 67.8618, Validation F1: 0.7879, Time: 185.9000 
EPOCH:: 10, Validation cost: 75.1002, Validation F1: 0.7794, Time: 185.9602 
EPOCH:: 11, Validation cost: 72.3843, Validation F1: 0.7917, Time: 186.0062 
EPOCH:: 12, Validation cost: 77.8378, Validation F1: 0.7830, Time: 185.8573 
EPOCH:: 13, Validation cost: 81.2928, Validation F1: 0.7879, Time: 185.9066 
EPOCH:: 14, Validation cost: 78.2503, Validation F1: 0.7880, Time: 185.9995 
EPOCH:: 15, Validation cost: 84.2571, Validation F1: 0.7892, Time: 185.9396 
EPOCH:: 16, Validation cost: 82.8330, Validation F1: 0.7933, Time: 185.8939 
EPOCH:: 17, Validation cost: 77.7175, Validation F1: 0.7987, Time: 185.8775 
EPOCH:: 18, Validation cost: 86.8542, Validation F1: 0.7921, Time: 185.9405 
EPOCH:: 19, Validation cost: 81.7228, Validation F1: 0.8014, Time: 185.8241 
EPOCH:: 20, Validation cost: 85.2992, Validation F1: 0.7945, Time: 185.8509 
EPOCH:: 21, Validation cost: 88.5985, Validation F1: 0.7971, Time: 185.9264 
EPOCH:: 22, Validation cost: 89.9237, Validation F1: 0.8046, Time: 185.8733 
EPOCH:: 23, Validation cost: 89.7596, Validation F1: 0.7985, Time: 185.8767 
EPOCH:: 24, Validation cost: 91.7816, Validation F1: 0.8044, Time: 185.9486 
EPOCH:: 25, Validation cost: 89.6416, Validation F1: 0.8073, Time: 185.7692 
EPOCH:: 26, Validation cost: 91.6328, Validation F1: 0.8024, Time: 186.0907 
EPOCH:: 27, Validation cost: 96.6704, Validation F1: 0.7979, Time: 186.1505 
EPOCH:: 28, Validation cost: 102.2052, Validation F1: 0.8001, Time: 185.9096 
EPOCH:: 29, Validation cost: 90.6783, Validation F1: 0.8150, Time: 185.9680 
EPOCH:: 30, Validation cost: 91.8965, Validation F1: 0.8141, Time: 186.0821 
