EPOCH:: 1, Validation cost: 141.6432, Validation F1: 0.4745, Time: 82.8453 
EPOCH:: 2, Validation cost: 126.9996, Validation F1: 0.5368, Time: 82.0378 
EPOCH:: 3, Validation cost: 109.4918, Validation F1: 0.6067, Time: 82.1212 
EPOCH:: 4, Validation cost: 99.0099, Validation F1: 0.6446, Time: 82.0653 
EPOCH:: 5, Validation cost: 92.9844, Validation F1: 0.6689, Time: 82.1044 
EPOCH:: 6, Validation cost: 87.0437, Validation F1: 0.6952, Time: 82.1527 
EPOCH:: 7, Validation cost: 85.1906, Validation F1: 0.7046, Time: 82.1270 
EPOCH:: 8, Validation cost: 82.8848, Validation F1: 0.7177, Time: 82.1381 
EPOCH:: 9, Validation cost: 85.9848, Validation F1: 0.7156, Time: 82.3196 
EPOCH:: 10, Validation cost: 87.6986, Validation F1: 0.7176, Time: 82.2755 
EPOCH:: 11, Validation cost: 90.1522, Validation F1: 0.7243, Time: 82.1370 
EPOCH:: 12, Validation cost: 94.9564, Validation F1: 0.7241, Time: 82.1004 
EPOCH:: 13, Validation cost: 94.9563, Validation F1: 0.7296, Time: 82.1396 
EPOCH:: 14, Validation cost: 100.6393, Validation F1: 0.7247, Time: 82.1987 
EPOCH:: 15, Validation cost: 101.9506, Validation F1: 0.7264, Time: 82.1912 
EPOCH:: 16, Validation cost: 103.8409, Validation F1: 0.7287, Time: 82.1869 
EPOCH:: 17, Validation cost: 104.2695, Validation F1: 0.7371, Time: 82.1924 
EPOCH:: 18, Validation cost: 113.7377, Validation F1: 0.7260, Time: 82.1799 
EPOCH:: 19, Validation cost: 109.0079, Validation F1: 0.7398, Time: 82.1507 
EPOCH:: 20, Validation cost: 111.0489, Validation F1: 0.7342, Time: 82.1590 
EPOCH:: 21, Validation cost: 111.9615, Validation F1: 0.7352, Time: 82.1542 
EPOCH:: 22, Validation cost: 114.5619, Validation F1: 0.7323, Time: 82.1759 
EPOCH:: 23, Validation cost: 114.1425, Validation F1: 0.7469, Time: 82.2229 
EPOCH:: 24, Validation cost: 112.9603, Validation F1: 0.7475, Time: 82.2243 
EPOCH:: 25, Validation cost: 117.5142, Validation F1: 0.7405, Time: 82.2126 
EPOCH:: 26, Validation cost: 117.8202, Validation F1: 0.7420, Time: 82.2090 
EPOCH:: 27, Validation cost: 114.4231, Validation F1: 0.7523, Time: 82.2142 
EPOCH:: 28, Validation cost: 117.9151, Validation F1: 0.7416, Time: 82.1956 
EPOCH:: 29, Validation cost: 120.8067, Validation F1: 0.7430, Time: 82.2077 
EPOCH:: 30, Validation cost: 122.2772, Validation F1: 0.7510, Time: 82.2305 
