EPOCH:: 1, Validation cost: 155.6739, Validation F1: 0.4256, Time: 58.1655 
EPOCH:: 2, Validation cost: 140.0902, Validation F1: 0.4686, Time: 57.1664 
EPOCH:: 3, Validation cost: 120.4578, Validation F1: 0.5650, Time: 57.2762 
EPOCH:: 4, Validation cost: 112.6739, Validation F1: 0.5834, Time: 57.2740 
EPOCH:: 5, Validation cost: 101.9560, Validation F1: 0.6359, Time: 57.2898 
EPOCH:: 6, Validation cost: 98.4958, Validation F1: 0.6518, Time: 57.3146 
EPOCH:: 7, Validation cost: 94.8074, Validation F1: 0.6562, Time: 57.3210 
EPOCH:: 8, Validation cost: 89.8648, Validation F1: 0.6788, Time: 57.2837 
EPOCH:: 9, Validation cost: 88.0618, Validation F1: 0.6980, Time: 57.2881 
EPOCH:: 10, Validation cost: 87.3851, Validation F1: 0.7009, Time: 57.2968 
EPOCH:: 11, Validation cost: 90.2589, Validation F1: 0.7081, Time: 57.3202 
EPOCH:: 12, Validation cost: 91.6923, Validation F1: 0.7103, Time: 57.3220 
EPOCH:: 13, Validation cost: 94.5170, Validation F1: 0.7146, Time: 57.3002 
EPOCH:: 14, Validation cost: 99.4696, Validation F1: 0.7079, Time: 57.3005 
EPOCH:: 15, Validation cost: 103.7699, Validation F1: 0.7109, Time: 57.3283 
EPOCH:: 16, Validation cost: 104.0301, Validation F1: 0.7174, Time: 57.3231 
EPOCH:: 17, Validation cost: 106.5000, Validation F1: 0.7255, Time: 57.3396 
EPOCH:: 18, Validation cost: 113.6957, Validation F1: 0.7120, Time: 57.4184 
EPOCH:: 19, Validation cost: 111.4269, Validation F1: 0.7209, Time: 57.3322 
EPOCH:: 20, Validation cost: 112.5960, Validation F1: 0.7235, Time: 57.2895 
EPOCH:: 21, Validation cost: 113.7611, Validation F1: 0.7250, Time: 57.2799 
EPOCH:: 22, Validation cost: 115.6012, Validation F1: 0.7279, Time: 57.3260 
EPOCH:: 23, Validation cost: 115.7345, Validation F1: 0.7282, Time: 57.3366 
