EPOCH:: 1, Validation cost: 126.0605, Validation F1: 0.5421, Time: 54.6980 
EPOCH:: 2, Validation cost: 115.2960, Validation F1: 0.5815, Time: 52.9563 
EPOCH:: 3, Validation cost: 92.0385, Validation F1: 0.6710, Time: 53.0140 
EPOCH:: 4, Validation cost: 84.5516, Validation F1: 0.6976, Time: 53.0553 
EPOCH:: 5, Validation cost: 79.3327, Validation F1: 0.7273, Time: 53.0105 
EPOCH:: 6, Validation cost: 77.7990, Validation F1: 0.7342, Time: 53.0214 
EPOCH:: 7, Validation cost: 78.1962, Validation F1: 0.7429, Time: 53.0422 
EPOCH:: 8, Validation cost: 79.5954, Validation F1: 0.7444, Time: 53.0151 
EPOCH:: 9, Validation cost: 83.4638, Validation F1: 0.7530, Time: 53.0232 
EPOCH:: 10, Validation cost: 89.8224, Validation F1: 0.7497, Time: 53.0261 
EPOCH:: 11, Validation cost: 93.5774, Validation F1: 0.7453, Time: 53.0434 
EPOCH:: 12, Validation cost: 94.2950, Validation F1: 0.7573, Time: 53.0725 
EPOCH:: 13, Validation cost: 100.2745, Validation F1: 0.7560, Time: 53.0974 
EPOCH:: 14, Validation cost: 99.0921, Validation F1: 0.7560, Time: 53.1149 
EPOCH:: 15, Validation cost: 105.7376, Validation F1: 0.7529, Time: 53.0786 
EPOCH:: 16, Validation cost: 100.4587, Validation F1: 0.7651, Time: 53.0559 
EPOCH:: 17, Validation cost: 105.9204, Validation F1: 0.7663, Time: 53.0759 
EPOCH:: 18, Validation cost: 110.1910, Validation F1: 0.7560, Time: 53.0461 
EPOCH:: 19, Validation cost: 115.3003, Validation F1: 0.7585, Time: 53.0775 
EPOCH:: 20, Validation cost: 110.4467, Validation F1: 0.7581, Time: 53.1019 
